country_name,country_code,year,financial_normalized_final,year_change,result
Aruba,ABW,2015,0.13416853,NULL,"First Year (No Previous Data)"
Aruba,ABW,2016,0.12866394,-0.00550459,"Economy Declined"
Aruba,ABW,2017,0.13389099,0.00522705,"Economy Improved"
Aruba,ABW,2018,0.13324339,-0.00064760,"Economy Declined"
Aruba,ABW,2019,0.12866394,-0.00457945,"Economy Declined"
Aruba,ABW,2020,0.07054198,-0.05812196,"Economy Declined"
Aruba,ABW,2021,0.15988744,0.08934546,"Economy Improved"
Aruba,ABW,2022,0.15042788,-0.00945956,"Economy Declined"
Aruba,ABW,2023,0.14365122,-0.00677666,"Economy Declined"
Aruba,ABW,2024,0.14156966,-0.00208156,"Economy Declined"
"Africa Eastern and Southern",AFE,2015,0.27594272,NULL,"First Year (No Previous Data)"
"Africa Eastern and Southern",AFE,2016,0.27357625,-0.00236647,"Economy Declined"
"Africa Eastern and Southern",AFE,2017,0.27493626,0.00136001,"Economy Improved"
"Africa Eastern and Southern",AFE,2018,0.27559066,0.00065440,"Economy Improved"
"Africa Eastern and Southern",AFE,2019,0.27424351,-0.00134715,"Economy Declined"
"Africa Eastern and Southern",AFE,2020,0.26260941,-0.01163410,"Economy Declined"
"Africa Eastern and Southern",AFE,2021,0.27910126,0.01649185,"Economy Improved"
"Africa Eastern and Southern",AFE,2022,0.27555983,-0.00354143,"Economy Declined"
"Africa Eastern and Southern",AFE,2023,0.27275044,-0.00280939,"Economy Declined"
"Africa Eastern and Southern",AFE,2024,0.27578277,0.00303233,"Economy Improved"
Afghanistan,AFG,2015,0.14554932,NULL,"First Year (No Previous Data)"
Afghanistan,AFG,2016,0.14362223,-0.00192709,"Economy Declined"
Afghanistan,AFG,2017,0.14339281,-0.00022942,"Economy Declined"
Afghanistan,AFG,2018,0.14505608,0.00166327,"Economy Improved"
Afghanistan,AFG,2019,0.14441754,-0.00063854,"Economy Declined"
Afghanistan,AFG,2020,0.14315575,-0.00126179,"Economy Declined"
Afghanistan,AFG,2021,0.14333546,0.00017971,"Economy Improved"
Afghanistan,AFG,2022,0.14005480,-0.00328066,"Economy Declined"
Afghanistan,AFG,2023,0.14707112,0.00701632,"Economy Improved"
Afghanistan,AFG,2024,0.14782055,0.00074943,"Economy Improved"
"Africa Western and Central",AFW,2015,0.27707833,NULL,"First Year (No Previous Data)"
"Africa Western and Central",AFW,2016,0.27098583,-0.00609250,"Economy Declined"
"Africa Western and Central",AFW,2017,0.27577418,0.00478835,"Economy Improved"
"Africa Western and Central",AFW,2018,0.27714277,0.00136859,"Economy Improved"
"Africa Western and Central",AFW,2019,0.27794518,0.00080241,"Economy Improved"
"Africa Western and Central",AFW,2020,0.26153709,-0.01640809,"Economy Declined"
"Africa Western and Central",AFW,2021,0.27558002,0.01404293,"Economy Improved"
"Africa Western and Central",AFW,2022,0.27841478,0.00283476,"Economy Improved"
"Africa Western and Central",AFW,2023,0.27758522,-0.00082956,"Economy Declined"
"Africa Western and Central",AFW,2024,0.28035177,0.00276655,"Economy Improved"
Angola,AGO,2015,0.32949383,NULL,"First Year (No Previous Data)"
Angola,AGO,2016,0.33979418,0.01030035,"Economy Improved"
Angola,AGO,2017,0.34103231,0.00123813,"Economy Improved"
Angola,AGO,2018,0.33837265,-0.00265966,"Economy Declined"
Angola,AGO,2019,0.33682150,-0.00155115,"Economy Declined"
Angola,AGO,2020,0.31865553,-0.01816597,"Economy Declined"
Angola,AGO,2021,0.34579231,0.02713678,"Economy Improved"
Angola,AGO,2022,0.33353426,-0.01225805,"Economy Declined"
Angola,AGO,2023,0.33365933,0.00012507,"Economy Improved"
Angola,AGO,2024,0.33892707,0.00526774,"Economy Improved"
Albania,ALB,2015,0.37224527,NULL,"First Year (No Previous Data)"
Albania,ALB,2016,0.37469893,0.00245366,"Economy Improved"
Albania,ALB,2017,0.37511023,0.00041130,"Economy Improved"
Albania,ALB,2018,0.37250270,-0.00260753,"Economy Declined"
Albania,ALB,2019,0.36978188,-0.00272082,"Economy Declined"
Albania,ALB,2020,0.36187576,-0.00790612,"Economy Declined"
Albania,ALB,2021,0.39257195,0.03069619,"Economy Improved"
Albania,ALB,2022,0.38407779,-0.00849416,"Economy Declined"
Albania,ALB,2023,0.37678057,-0.00729722,"Economy Declined"
Albania,ALB,2024,0.37599080,-0.00078977,"Economy Declined"
Andorra,AND,2015,0.12912651,NULL,"First Year (No Previous Data)"
Andorra,AND,2016,0.13439981,0.00527330,"Economy Improved"
Andorra,AND,2017,0.12662863,-0.00777118,"Economy Declined"
Andorra,AND,2018,0.12949657,0.00286794,"Economy Improved"
Andorra,AND,2019,0.13049110,0.00099453,"Economy Improved"
Andorra,AND,2020,0.09996145,-0.03052965,"Economy Declined"
Andorra,AND,2021,0.14499268,0.04503123,"Economy Improved"
Andorra,AND,2022,0.14793000,0.00293732,"Economy Improved"
Andorra,AND,2023,0.13178629,-0.01614371,"Economy Declined"
Andorra,AND,2024,0.13361345,0.00182716,"Economy Improved"
"Arab World",ARB,2015,0.27816444,NULL,"First Year (No Previous Data)"
"Arab World",ARB,2016,0.27846679,0.00030235,"Economy Improved"
"Arab World",ARB,2017,0.27340071,-0.00506608,"Economy Declined"
"Arab World",ARB,2018,0.27640816,0.00300745,"Economy Improved"
"Arab World",ARB,2019,0.27465123,-0.00175693,"Economy Declined"
"Arab World",ARB,2020,0.25830356,-0.01634767,"Economy Declined"
"Arab World",ARB,2021,0.28026466,0.02196110,"Economy Improved"
"Arab World",ARB,2022,0.28534857,0.00508391,"Economy Improved"
"Arab World",ARB,2023,0.27335661,-0.01199196,"Economy Declined"
"Arab World",ARB,2024,0.27424499,0.00088838,"Economy Improved"
"United Arab Emirates",ARE,2015,0.28595801,NULL,"First Year (No Previous Data)"
"United Arab Emirates",ARE,2016,0.28358742,-0.00237059,"Economy Declined"
"United Arab Emirates",ARE,2017,0.26791123,-0.01567619,"Economy Declined"
"United Arab Emirates",ARE,2018,0.27350405,0.00559282,"Economy Improved"
"United Arab Emirates",ARE,2019,0.27479138,0.00128733,"Economy Improved"
"United Arab Emirates",ARE,2020,0.25181273,-0.02297865,"Economy Declined"
"United Arab Emirates",ARE,2021,0.28157075,0.02975802,"Economy Improved"
"United Arab Emirates",ARE,2022,0.28646293,0.00489218,"Economy Improved"
"United Arab Emirates",ARE,2023,0.28043812,-0.00602481,"Economy Declined"
"United Arab Emirates",ARE,2024,0.27970966,-0.00072846,"Economy Declined"
Argentina,ARG,2015,0.19141701,NULL,"First Year (No Previous Data)"
Argentina,ARG,2016,0.18707360,-0.00434341,"Economy Declined"
Argentina,ARG,2017,0.18951936,0.00244576,"Economy Improved"
Argentina,ARG,2018,0.17205959,-0.01745977,"Economy Declined"
Argentina,ARG,2019,0.16452306,-0.00753653,"Economy Declined"
Argentina,ARG,2020,0.16973662,0.00521356,"Economy Improved"
Argentina,ARG,2021,0.22180065,0.05206403,"Economy Improved"
Argentina,ARG,2022,0.20915081,-0.01264984,"Economy Declined"
Argentina,ARG,2023,0.19976517,-0.00938564,"Economy Declined"
Argentina,ARG,2024,0.23687363,0.03710846,"Economy Improved"
Armenia,ARM,2015,0.37524560,NULL,"First Year (No Previous Data)"
Armenia,ARM,2016,0.37382093,-0.00142467,"Economy Declined"
Armenia,ARM,2017,0.39953964,0.02571871,"Economy Improved"
Armenia,ARM,2018,0.40190320,0.00236356,"Economy Improved"
Armenia,ARM,2019,0.41296424,0.01106104,"Economy Improved"
Armenia,ARM,2020,0.39732892,-0.01563532,"Economy Declined"
Armenia,ARM,2021,0.41635833,0.01902941,"Economy Improved"
Armenia,ARM,2022,0.41998463,0.00362630,"Economy Improved"
Armenia,ARM,2023,0.40999533,-0.00998930,"Economy Declined"
Armenia,ARM,2024,0.41467138,0.00467605,"Economy Improved"
"Antigua and Barbuda",ATG,2015,0.38751960,NULL,"First Year (No Previous Data)"
"Antigua and Barbuda",ATG,2016,0.38816333,0.00064373,"Economy Improved"
"Antigua and Barbuda",ATG,2017,0.38121626,-0.00694707,"Economy Declined"
"Antigua and Barbuda",ATG,2018,0.38913405,0.00791779,"Economy Improved"
