country_name,country_code,indicator_status,year,financial_normalized_final,financial_rank
"Hong Kong SAR, China",HKG,"Inflation: Price Stable | Private Credit: Healthy | GDP: Growing Economy | Private Credit: Healthy | Interest Rate: High Cost",2015,0.61979905,1
Cyprus,CYP,"GDP: Growing Economy | Private Credit: Healthy | Private Credit: Healthy | Inflation: Price Stable",2015,0.61796783,2
China,CHN,"Inflation: Price Stable | GDP: Growing Economy | Private Credit: Average | Private Credit: Average | Interest Rate: High Cost",2015,0.54552175,3
Thailand,THA,"Inflation: Price Stable | GDP: Growing Economy | Private Credit: Average | Private Credit: Average | Interest Rate: High Cost",2015,0.53741959,4
"United States",USA,"Inflation: Price Stable | Private Credit: Average | Private Credit: Average | GDP: Growing Economy",2015,0.53312332,5
"North America",NAC,"GDP: Growing Economy | Private Credit: Average | Private Credit: Average | Inflation: Price Stable",2015,0.53249269,6
Norway,NOR,"Private Credit: Average | GDP: Growing Economy | Inflation: Price Stable | Private Credit: Average | Interest Rate: High Cost",2015,0.51408964,7
Denmark,DNK,"Private Credit: Average | GDP: Growing Economy | Inflation: Price Stable | Private Credit: Average",2015,0.51125084,8
"Korea, Rep.",KOR,"GDP: Growing Economy | Private Credit: Average | Inflation: Price Stable | Private Credit: Average | Interest Rate: High Cost",2015,0.50759777,9
Malaysia,MYS,"Interest Rate: High Cost | Inflation: Price Stable | Private Credit: Average | GDP: Growing Economy | Private Credit: Average",2015,0.50461844,10
Japan,JPN,"Inflation: Price Stable | GDP: Growing Economy | Private Credit: Average | Private Credit: Average",2015,0.49939362,11
"East Asia & Pacific",EAS,"GDP: Growing Economy | Private Credit: Average | Private Credit: Average | Inflation: Price Stable",2015,0.47778488,12
"Post-demographic dividend",PST,"Private Credit: Average | GDP: Growing Economy | Private Credit: Average | Inflation: Price Stable",2015,0.47769501,13
"East Asia & Pacific (IDA & IBRD countries)",TEA,"Private Credit: Average | GDP: Growing Economy | Private Credit: Average | Inflation: Price Stable",2015,0.47491047,14
"East Asia & Pacific (excluding high income)",EAP,"Inflation: Price Stable | Private Credit: Average | GDP: Growing Economy | Private Credit: Average",2015,0.47486076,15
"OECD members",OED,"Private Credit: Average | GDP: Growing Economy | Private Credit: Average | Inflation: Price Stable",2015,0.46773884,16
"High income",HIC,"Inflation: Price Stable | Private Credit: Average | GDP: Growing Economy | Private Credit: Average",2015,0.46723685,17
Mauritius,MUS,"Interest Rate: High Cost | Inflation: Price Stable | Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak",2015,0.46313777,18
Australia,AUS,"GDP: Growing Economy | Private Credit: Average | Private Credit: Average | Inflation: Price Stable",2015,0.46215987,19
Sweden,SWE,"Inflation: Price Stable | Private Credit: Average | GDP: Growing Economy | Private Credit: Average",2015,0.45625696,20
"United Kingdom",GBR,"GDP: Growing Economy | Private Credit: Average | Private Credit: Average | Inflation: Price Stable",2015,0.45449657,21
Iceland,ISL,"Inflation: Price Stable | Interest Rate: High Cost | Private Credit: Weak | Private Credit: Weak | GDP: Growing Economy",2015,0.45296452,22
World,WLD,"Inflation: Price Stable | GDP: Growing Economy | Private Credit: Average | Private Credit: Average",2015,0.44710945,23
Italy,ITA,"Interest Rate: High Cost | Inflation: Price Stable | Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak",2015,0.44474400,24
"Late-demographic dividend",LTE,"Inflation: Price Stable | Private Credit: Average | Private Credit: Average | GDP: Growing Economy",2015,0.44472443,25
Spain,ESP,"Inflation: Price Stable | Private Credit: Average | Private Credit: Average | GDP: Growing Economy",2015,0.44257272,26
Fiji,FJI,"GDP: Growing Economy | Private Credit: Weak | Interest Rate: High Cost | Private Credit: Weak | Inflation: Price Stable",2015,0.44127739,27
Portugal,PRT,"Inflation: Price Stable | Private Credit: Average | GDP: Growing Economy | Private Credit: Average",2015,0.43905782,28
"Upper middle income",UMC,"Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak | Inflation: Price Stable",2015,0.43048365,29
Samoa,WSM,"Inflation: Price Stable | Interest Rate: High Cost | Private Credit: Weak | Private Credit: Weak | GDP: Growing Economy",2015,0.42810243,30
Greece,GRC,"Inflation: Price Stable | Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak",2015,0.42638109,31
Netherlands,NLD,"Inflation: Price Stable | GDP: Growing Economy | Private Credit: Weak | Private Credit: Weak",2015,0.42628972,32
Chile,CHL,"GDP: Growing Economy | Private Credit: Weak | Inflation: Price Stable | Private Credit: Weak",2015,0.42489710,33
