country_name,country_code,year,financial_normalized_final,indicator_status
Afghanistan,AFG,2015,0.14554932,"Inflation: Price Stable"
Afghanistan,AFG,2016,0.14362223,"Inflation: Price Stable"
Afghanistan,AFG,2017,0.14339281,"Inflation: Price Stable"
Afghanistan,AFG,2018,0.14505608,"Inflation: Price Stable"
Afghanistan,AFG,2019,0.14441754,"Inflation: Price Stable"
Afghanistan,AFG,2020,0.14315575,"Inflation: Price Stable"
Afghanistan,AFG,2021,0.14333546,"Inflation: Price Stable"
Afghanistan,AFG,2022,0.14005480,"Inflation: Price Stable"
Afghanistan,AFG,2023,0.14707112,"Inflation: Price Stable"
Afghanistan,AFG,2024,0.14782055,"Inflation: Price Stable"
"Africa Eastern and Southern",AFE,2015,0.27594272,"Inflation: Price Stable | GDP: Growing Economy"
"Africa Eastern and Southern",AFE,2016,0.27357625,"GDP: Growing Economy | Inflation: Price Stable"
"Africa Eastern and Southern",AFE,2017,0.27493626,"Inflation: Price Stable | GDP: Growing Economy"
"Africa Eastern and Southern",AFE,2018,0.27559066,"GDP: Growing Economy | Inflation: Price Stable"
"Africa Eastern and Southern",AFE,2019,0.27424351,"Inflation: Price Stable | GDP: Growing Economy"
"Africa Eastern and Southern",AFE,2020,0.26260941,"Inflation: Price Stable"
"Africa Eastern and Southern",AFE,2021,0.27910126,"Inflation: Price Stable | GDP: Growing Economy"
"Africa Eastern and Southern",AFE,2022,0.27555983,"GDP: Growing Economy | Inflation: Price Stable"
"Africa Eastern and Southern",AFE,2023,0.27275044,"Inflation: Price Stable | GDP: Growing Economy"
"Africa Eastern and Southern",AFE,2024,0.27578277,"GDP: Growing Economy | Inflation: Price Stable"
"Africa Western and Central",AFW,2015,0.27707833,"Inflation: Price Stable | GDP: Growing Economy"
"Africa Western and Central",AFW,2016,0.27098583,"GDP: Growing Economy | Inflation: Price Stable"
"Africa Western and Central",AFW,2017,0.27577418,"Inflation: Price Stable | GDP: Growing Economy"
"Africa Western and Central",AFW,2018,0.27714277,"GDP: Growing Economy | Inflation: Price Stable"
"Africa Western and Central",AFW,2019,0.27794518,"Inflation: Price Stable | GDP: Growing Economy"
"Africa Western and Central",AFW,2020,0.26153709,"Inflation: Price Stable"
"Africa Western and Central",AFW,2021,0.27558002,"Inflation: Price Stable | GDP: Growing Economy"
"Africa Western and Central",AFW,2022,0.27841478,"GDP: Growing Economy | Inflation: Price Stable"
"Africa Western and Central",AFW,2023,0.27758522,"Inflation: Price Stable | GDP: Growing Economy"
"Africa Western and Central",AFW,2024,0.28035177,"GDP: Growing Economy | Inflation: Price Stable"
Albania,ALB,2015,0.37224527,"Interest Rate: High Cost | Inflation: Price Stable | Private Credit: Weak | Private Credit: Weak | GDP: Growing Economy"
Albania,ALB,2016,0.37469893,"GDP: Growing Economy | Interest Rate: High Cost | Private Credit: Weak | Private Credit: Weak | Inflation: Price Stable"
Albania,ALB,2017,0.37511023,"Inflation: Price Stable | Interest Rate: High Cost | GDP: Growing Economy | Private Credit: Weak | Private Credit: Weak"
Albania,ALB,2018,0.37250270,"Private Credit: Weak | Private Credit: Weak | Interest Rate: High Cost | Inflation: Price Stable | GDP: Growing Economy"
Albania,ALB,2019,0.36978188,"GDP: Growing Economy | Interest Rate: High Cost | Private Credit: Weak | Private Credit: Weak | Inflation: Price Stable"
Albania,ALB,2020,0.36187576,"Inflation: Price Stable | Interest Rate: High Cost | Private Credit: Weak | Private Credit: Weak"
Albania,ALB,2021,0.39257195,"Private Credit: Weak | Private Credit: Weak | Interest Rate: High Cost | Inflation: Price Stable | GDP: Growing Economy"
Albania,ALB,2022,0.38407779,"GDP: Growing Economy | Interest Rate: Normal Cost | Private Credit: Weak | Private Credit: Weak | Inflation: Price Stable"
Albania,ALB,2023,0.37678057,"Private Credit: Weak | Private Credit: Weak | Inflation: Price Stable | Interest Rate: High Cost | GDP: Growing Economy"
Albania,ALB,2024,0.37599080,"GDP: Growing Economy | Interest Rate: High Cost | Inflation: Price Stable | Private Credit: Weak | Private Credit: Weak"
Algeria,DZA,2015,0.34064885,"Inflation: Price Stable | Interest Rate: High Cost | Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak"
Algeria,DZA,2016,0.35093877,"Private Credit: Weak | Private Credit: Weak | Interest Rate: High Cost | Inflation: Price Stable | GDP: Growing Economy"
Algeria,DZA,2017,0.35291353,"GDP: Growing Economy | Interest Rate: High Cost | Private Credit: Weak | Private Credit: Weak | Inflation: Price Stable"
Algeria,DZA,2018,0.35534889,"Inflation: Price Stable | Interest Rate: High Cost | GDP: Growing Economy | Private Credit: Weak | Private Credit: Weak"
Algeria,DZA,2019,0.34948231,"Private Credit: Weak | Private Credit: Weak | Interest Rate: High Cost | Inflation: Price Stable | GDP: Growing Economy"
Algeria,DZA,2020,0.33269265,"GDP: Weak Economy | Interest Rate: High Cost | Private Credit: Weak | Private Credit: Weak | Inflation: Price Stable"
Algeria,DZA,2021,0.37034398,"Inflation: Price Stable | Interest Rate: Normal Cost | GDP: Growing Economy | Private Credit: Weak | Private Credit: Weak"
Algeria,DZA,2022,0.36918419,"Private Credit: Weak | Interest Rate: Normal Cost | Inflation: Price Stable | Private Credit: Weak | GDP: Growing Economy"
Algeria,DZA,2023,0.34849231,"GDP: Growing Economy | Inflation: Price Stable | Interest Rate: High Cost | Private Credit: Weak | Private Credit: Weak"
Algeria,DZA,2024,0.35276234,"Private Credit: Weak | Private Credit: Weak | GDP: Growing Economy | Inflation: Price Stable | Interest Rate: High Cost"
Andorra,AND,2015,0.12912651,"GDP: Growing Economy"
Andorra,AND,2016,0.13439981,"GDP: Growing Economy"
Andorra,AND,2017,0.12662863,"GDP: Growing Economy"
Andorra,AND,2018,0.12949657,"GDP: Growing Economy"
Andorra,AND,2019,0.13049110,"GDP: Growing Economy"
Andorra,AND,2020,0.09996145,"GDP: Weak Economy"
Andorra,AND,2021,0.14499268,"GDP: Growing Economy"
Andorra,AND,2022,0.14793000,"GDP: Growing Economy"
Andorra,AND,2023,0.13178629,"GDP: Growing Economy"
Andorra,AND,2024,0.13361345,"GDP: Growing Economy"
Angola,AGO,2015,0.32949383,"GDP: Growing Economy | Private Credit: Weak | Private Credit: Weak | Inflation: Price Stable | Interest Rate: High Cost"
Angola,AGO,2016,0.33979418,"Interest Rate: Normal Cost | GDP: Growing Economy | Private Credit: Weak | Private Credit: Weak | Inflation: Price Stable"
Angola,AGO,2017,0.34103231,"Inflation: Price Stable | GDP: Growing Economy | Interest Rate: Normal Cost | Private Credit: Weak | Private Credit: Weak"
Angola,AGO,2018,0.33837265,"Private Credit: Weak | Private Credit: Weak | GDP: Growing Economy | Inflation: Price Stable | Interest Rate: Normal Cost"
Angola,AGO,2019,0.33682150,"Interest Rate: High Cost | GDP: Growing Economy | Private Credit: Weak | Private Credit: Weak | Inflation: Price Stable"
Angola,AGO,2020,0.31865553,"Inflation: Price Stable | GDP: Weak Economy | Interest Rate: High Cost | Private Credit: Weak | Private Credit: Weak"
Angola,AGO,2021,0.34579231,"Private Credit: Weak | Private Credit: Weak | GDP: Growing Economy | Inflation: Price Stable | Interest Rate: Normal Cost"
Angola,AGO,2022,0.33353426,"Interest Rate: High Cost | GDP: Growing Economy | Private Credit: Weak | Private Credit: Weak | Inflation: Price Stable"
Angola,AGO,2023,0.33365933,"Private Credit: Weak | Private Credit: Weak | GDP: Growing Economy | Inflation: Price Stable"
Angola,AGO,2024,0.33892707,"Interest Rate: Normal Cost | Inflation: Price Stable | GDP: Growing Economy | Private Credit: Weak | Private Credit: Weak"
"Antigua and Barbuda",ATG,2015,0.38751960,"Inflation: Price Stable | GDP: Growing Economy | Private Credit: Weak | Private Credit: Weak | Interest Rate: High Cost"
"Antigua and Barbuda",ATG,2016,0.38816333,"Interest Rate: High Cost | GDP: Growing Economy | Inflation: Price Stable | Private Credit: Weak | Private Credit: Weak"
"Antigua and Barbuda",ATG,2017,0.38121626,"Private Credit: Weak | Private Credit: Weak | GDP: Growing Economy | Interest Rate: High Cost | Inflation: Price Stable"
"Antigua and Barbuda",ATG,2018,0.38913405,"Inflation: Price Stable | GDP: Growing Economy | Private Credit: Weak | Private Credit: Weak | Interest Rate: High Cost"
"Antigua and Barbuda",ATG,2019,0.38079701,"Interest Rate: High Cost | GDP: Growing Economy | Inflation: Price Stable | Private Credit: Weak | Private Credit: Weak"
"Antigua and Barbuda",ATG,2020,0.34794632,"Private Credit: Weak | Private Credit: Weak | GDP: Weak Economy | Interest Rate: High Cost | Inflation: Price Stable"
"Antigua and Barbuda",ATG,2021,0.40353939,"Inflation: Price Stable | GDP: Growing Economy | Private Credit: Weak | Private Credit: Weak | Interest Rate: High Cost"
"Antigua and Barbuda",ATG,2022,0.39561380,"Inflation: Price Stable | Interest Rate: High Cost | GDP: Growing Economy | Private Credit: Weak | Private Credit: Weak"
"Antigua and Barbuda",ATG,2023,0.37942785,"Interest Rate: High Cost | Inflation: Price Stable | Private Credit: Weak | Private Credit: Weak | GDP: Growing Economy"
"Antigua and Barbuda",ATG,2024,0.38426644,"GDP: Growing Economy | Inflation: Price Stable | Interest Rate: High Cost | Private Credit: Weak | Private Credit: Weak"
"Arab World",ARB,2015,0.27816444,"Inflation: Price Stable | GDP: Growing Economy"
"Arab World",ARB,2016,0.27846679,"GDP: Growing Economy | Inflation: Price Stable"
"Arab World",ARB,2017,0.27340071,"Inflation: Price Stable | GDP: Growing Economy"
"Arab World",ARB,2018,0.27640816,"GDP: Growing Economy | Inflation: Price Stable"
"Arab World",ARB,2019,0.27465123,"Inflation: Price Stable | GDP: Growing Economy"
"Arab World",ARB,2020,0.25830356,"GDP: Weak Economy | Inflation: Price Stable"
"Arab World",ARB,2021,0.28026466,"Inflation: Price Stable | GDP: Growing Economy"
"Arab World",ARB,2022,0.28534857,"GDP: Growing Economy | Inflation: Price Stable"
"Arab World",ARB,2023,0.27335661,"Inflation: Price Stable | GDP: Growing Economy"
"Arab World",ARB,2024,0.27424499,"GDP: Growing Economy | Inflation: Price Stable"
Argentina,ARG,2015,0.19141701,"GDP: Growing Economy"
Argentina,ARG,2016,0.18707360,"GDP: Growing Economy | Interest Rate: Normal Cost"
Argentina,ARG,2017,0.18951936,"Interest Rate: High Cost | GDP: Growing Economy"
Argentina,ARG,2018,0.17205959,"Interest Rate: High Cost"
Argentina,ARG,2019,0.16452306,"Interest Rate: High Cost | GDP: Growing Economy"
Argentina,ARG,2020,0.16973662,"GDP: Weak Economy | Interest Rate: Normal Cost"
Argentina,ARG,2021,0.22180065,"Interest Rate: Normal Cost | GDP: Growing Economy"
Argentina,ARG,2022,0.20915081,"GDP: Growing Economy | Interest Rate: Normal Cost"
Argentina,ARG,2023,0.19976517,"Interest Rate: Normal Cost | GDP: Growing Economy"
Argentina,ARG,2024,0.23687363,"GDP: Growing Economy | Interest Rate: Low Cost"
Armenia,ARM,2015,0.37524560,"Interest Rate: High Cost | Inflation: Price Stable | GDP: Growing Economy | Private Credit: Weak | Private Credit: Weak"
Armenia,ARM,2016,0.37382093,"GDP: Growing Economy | Interest Rate: High Cost | Private Credit: Weak | Private Credit: Weak | Inflation: Price Stable"
Armenia,ARM,2017,0.39953964,"Inflation: Price Stable | Interest Rate: High Cost | GDP: Growing Economy | Private Credit: Weak | Private Credit: Weak"
