Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,Domestic credit to private sector,FS.AST.PRVT.GD.ZS,56.62688176,57.22193169,57.24653443,55.96510183,59.64935375,82.09396644,68.64600158,60.53162845,56.71192965,
Africa Eastern and Southern,AFE,Domestic credit to private sector,FS.AST.PRVT.GD.ZS,65.7969299,66.03938764,65.74370536,62.14137429,60.53281003,55.77732964,49.59954858,44.40717068,46.67943687,
Afghanistan,AFG,Domestic credit to private sector,FS.AST.PRVT.GD.ZS,3.981493795,3.888321746,3.841881205,3.512317033,3.22995723,3.09659809,,,,
Africa Western and Central,AFW,Domestic credit to private sector,FS.AST.PRVT.GD.ZS,14.44151641,15.85936076,14.9321541,13.29285888,11.0738503,11.73309805,12.6505816,12.62714521,,
Angola,AGO,Domestic credit to private sector,FS.AST.PRVT.GD.ZS,22.27492802,18.59082776,14.84745928,13.25640128,13.4718249,11.31075319,8.702496377,6.865607363,7.565443821,7.277022462
Albania,ALB,Domestic credit to private sector,FS.AST.PRVT.GD.ZS,36.88088022,36.20986353,34.13246524,32.50735868,33.72559551,37.71933343,36.43416869,33.79123815,32.46656721,34.05978091
Andorra,AND,Domestic credit to private sector,FS.AST.PRVT.GD.ZS,,,,,,,,,,
Arab World,ARB,Domestic credit to private sector,FS.AST.PRVT.GD.ZS,47.46130491,55.45492923,53.3884708,,,,,,,
United Arab Emirates,ARE,Domestic credit to private sector,FS.AST.PRVT.GD.ZS,,81.93987114,78.14890121,73.98429006,75.28849883,88.8356661,76.16764298,65.45743131,,
Argentina,ARG,Domestic credit to private sector,FS.AST.PRVT.GD.ZS,14.41423304,13.66763343,15.95849734,,14.47762924,15.74648977,13.26442898,12.88910093,15.35708234,15.11767784
Armenia,ARM,Domestic credit to private sector,FS.AST.PRVT.GD.ZS,45.63078261,48.87564437,51.54258581,55.50200273,60.15523792,72.19291409,61.67381255,52.55384268,55.40496026,64.37994332
American Samoa,ASM,Domestic credit to private sector,FS.AST.PRVT.GD.ZS,,,,,,,,,,
