Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,GDP growth (annual %),GDP,3.611479954,1.234335374,3.493429853,3.212471119,1.225112252,-23.89798984,14.73061592,10.63643096,7.706798397,6.810776693
Africa Eastern and Southern,AFE,GDP growth (annual %),GDP,2.934029659,2.13011703,2.677523897,2.705194134,2.030076862,-2.817572087,4.578772069,3.722716923,1.931160352,2.763838691
Afghanistan,AFG,GDP growth (annual %),GDP,1.451314661,2.260314203,2.647003203,1.189228129,3.911603416,-2.351100672,-20.73883937,-6.240171992,2.266943736,
Africa Western and Central,AFW,GDP growth (annual %),GDP,2.932863672,0.194316483,2.296348866,2.904664308,3.281682769,-3.730629842,2.549690832,4.472794685,3.662427529,4.585673621
Angola,AGO,GDP growth (annual %),GDP,0.763177711,-1.700530363,-0.149396226,-0.594411227,-0.204680246,-4.042447246,2.102752519,4.216002585,1.26330814,4.423906644
Albania,ALB,GDP growth (annual %),GDP,2.227704075,3.908935514,3.283175933,3.671419281,2.062577902,-3.313756369,8.969576191,4.826800623,4.015417169,4.045928451
Andorra,AND,GDP growth (annual %),GDP,1.434140395,3.70967807,0.34607189,1.58876549,2.015547638,-11.18393994,8.28677879,9.564612256,2.58355481,3.371820326
Arab World,ARB,GDP growth (annual %),GDP,3.350803667,3.57286828,1.329010002,2.672553245,1.747781122,-5.301027869,4.431608835,7.007759343,1.634950223,1.703531028
United Arab Emirates,ARE,GDP growth (annual %),GDP,7.087673486,5.657933292,-1.061376615,1.537166832,1.271342408,-8.693426179,4.552785712,7.514484258,4.30118228,3.991807055
Argentina,ARG,GDP growth (annual %),GDP,2.731159828,-2.080327844,2.818502978,-2.617396463,-2.000861003,-9.900484814,10.44181199,6.020745375,-1.85578803,-1.342930722
Armenia,ARM,GDP growth (annual %),GDP,3.199999999,0.2,7.500000002,5.2,7.599999999,-7.199999999,5.800000001,12.6,8.3,5.9
American Samoa,ASM,GDP growth (annual %),GDP,3.149606299,-1.679389313,-6.98757764,2.671118531,-0.487804878,4.411764706,-0.782472613,1.735015773,,
Antigua and Barbuda,ATG,GDP growth (annual %),GDP,1.421619976,4.120367544,2.71272658,6.712004872,3.172221937,-18.86877652,8.172863112,9.107806234,2.427363001,3.65638766
Australia,AUS,GDP growth (annual %),GDP,2.164347806,2.755640655,2.293310302,2.874170395,2.194017036,-0.133531904,2.006948443,4.253045592,3.583821008,1.373407734
Austria,AUT,GDP growth (annual %),GDP,1.303523318,2.117219645,2.27224992,2.484221141,1.754976196,-6.318255092,4.923091717,5.330963794,-0.786244289,-0.659089573
Azerbaijan,AZE,GDP growth (annual %),GDP,1.049546412,-3.063598423,0.153614662,1.500401672,2.479808792,-4.198960653,5.616440272,4.714680332,1.354477491,4.07140205
Burundi,BDI,GDP growth (annual %),GDP,-0.404525595,3.200174706,3.831857569,5.342244731,4.459342024,0.306443809,3.237074798,2.317701222,3.254768974,4.112273763
Belgium,BEL,GDP growth (annual %),GDP,1.474164337,1.19350273,1.474467616,1.877968474,2.442890045,-4.792983908,6.254456865,3.956237976,1.714121955,1.07045413
Benin,BEN,GDP growth (annual %),GDP,1.77815106,3.339673426,5.671561952,6.697253622,6.865686628,3.8487924,7.155451646,6.252947054,6.352777385,7.453115662
Burkina Faso,BFA,GDP growth (annual %),GDP,3.921228794,5.957976708,6.203489411,6.604569068,5.889204971,2.010772624,6.942524926,1.626732582,3.000274158,4.799809517
Bangladesh,BGD,GDP growth (annual %),GDP,6.552639878,7.113478213,6.590249998,7.31941263,7.881915151,3.448017551,6.938679124,7.099828776,5.77511237,4.223259113
