Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,inflation,FP.CPI.TOTL.ZG,0.474763597,-0.931195987,-1.028281788,3.626041414,4.257462043,,,,,
Africa Eastern and Southern,AFE,inflation,FP.CPI.TOTL.ZG,5.098561644,6.446877223,6.221375289,4.689806468,4.102850755,5.191629421,6.824727093,10.88347757,7.399185581,4.489788542
Afghanistan,AFG,inflation,FP.CPI.TOTL.ZG,-0.661709165,4.383891955,4.975951506,0.626149149,2.302372515,5.601887915,5.133203408,13.71210237,-4.644708708,-6.601185641
Africa Western and Central,AFW,inflation,FP.CPI.TOTL.ZG,2.130817381,1.487415508,1.725486024,1.784049948,1.983092285,2.490377839,3.745567823,7.949251435,5.221168013,3.60804427
Angola,AGO,inflation,FP.CPI.TOTL.ZG,9.355972155,30.69441508,29.8444799,19.62893797,17.08095414,22.27153925,25.75429488,21.35529013,13.64410178,28.24049489
Albania,ALB,inflation,FP.CPI.TOTL.ZG,1.896174026,1.275431684,1.986661332,2.028059631,1.41109079,1.620886617,2.041471631,6.725202715,4.758345552,2.215873751
Andorra,AND,inflation,FP.CPI.TOTL.ZG,,,,,,,,,,
Arab World,ARB,inflation,FP.CPI.TOTL.ZG,1.831352332,2.365031235,2.069329282,2.308746967,1.336015681,1.44703657,2.868330278,5.17980848,4.000258771,2.101355774
United Arab Emirates,ARE,inflation,FP.CPI.TOTL.ZG,4.069966084,1.617488089,1.966825578,3.068633793,-1.931081148,-2.079403179,0.179935336,5.291226044,1.626708372,1.663365102
Argentina,ARG,inflation,FP.CPI.TOTL.ZG,,,,34.27722371,53.54830435,42.01509474,48.40937863,72.43075753,133.4889356,219.883929
Armenia,ARM,inflation,FP.CPI.TOTL.ZG,3.731691193,-1.403607559,0.969553269,2.52023382,1.443446608,1.211435778,7.184836294,8.64091109,1.980418776,0.269511978
American Samoa,ASM,inflation,FP.CPI.TOTL.ZG,,,,,,,,,,
Antigua and Barbuda,ATG,inflation,FP.CPI.TOTL.ZG,0.968993459,-0.489437796,2.43248789,1.207157934,1.431355982,0.625989707,2.062996385,7.531078346,5.067138654,6.198866988
Australia,AUS,inflation,FP.CPI.TOTL.ZG,1.508366722,1.276990945,1.948647409,1.911400944,1.610767873,0.846905537,2.863910422,6.594096713,5.597014925,3.161614283
Austria,AUT,inflation,FP.CPI.TOTL.ZG,0.896563335,0.891591753,2.081269114,1.998379814,1.530895642,1.381910634,2.766666667,8.546869932,7.81413417,2.937915743
Azerbaijan,AZE,inflation,FP.CPI.TOTL.ZG,4.027685737,12.44337486,12.93591842,2.268546904,2.610571828,2.75980947,6.650299127,13.85225901,8.785430498,2.212171889
Burundi,BDI,inflation,FP.CPI.TOTL.ZG,5.544688913,5.557689614,16.0525353,-2.814698077,-0.686772171,7.321106434,8.404538451,18.80087867,26.94148358,20.2124925
Belgium,BEL,inflation,FP.CPI.TOTL.ZG,0.561429153,1.973852647,2.12597086,2.053164999,1.43681957,0.740791812,2.440248511,9.597511729,4.049010776,3.143491365
Benin,BEN,inflation,FP.CPI.TOTL.ZG,0.218785924,-0.793310146,0.043264856,0.919170718,0.732849371,3.022721197,1.733539627,1.350778636,2.738700784,1.160930896
