Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,interest rate,FR.INR.RINR,4.426357526,7.467580403,6.143279999,3.268733797,4.743049728,10.05956306,4.7222008,1.736462245,-1.222153892,
Africa Eastern and Southern,AFE,interest rate,FR.INR.RINR,,,,,,,,,,
Afghanistan,AFG,interest rate,FR.INR.RINR,12.25254816,17.58393816,12.1411783,,,,,,,
Africa Western and Central,AFW,interest rate,FR.INR.RINR,,,,,,,,,,
Angola,AGO,interest rate,FR.INR.RINR,20.44380216,-4.212861222,-6.391178097,-3.608117395,-0.475965539,3.095126182,-11.97942893,1.689307337,-0.855065283,-4.177558199
Albania,ALB,interest rate,FR.INR.RINR,7.051515885,7.664675008,3.40221802,4.415049426,5.222938044,6.077272703,2.491593054,-3.05379036,0.584258766,3.996116578
Andorra,AND,interest rate,FR.INR.RINR,,,,,,,,,,
Arab World,ARB,interest rate,FR.INR.RINR,,,,,,,,,,
United Arab Emirates,ARE,interest rate,FR.INR.RINR,,,,,,,,,,
Argentina,ARG,interest rate,FR.INR.RINR,-1.314708785,-7.006039843,0.455892832,4.564409099,12.10396965,-7.635174216,-11.86183796,-9.819684198,-17.254281,-47.43045803
Armenia,ARM,interest rate,FR.INR.RINR,16.18000967,17.04235951,11.99733996,9.733977399,10.95957856,9.63911034,4.547588161,3.457429322,9.005759346,11.58590805
American Samoa,ASM,interest rate,FR.INR.RINR,,,,,,,,,,
Antigua and Barbuda,ATG,interest rate,FR.INR.RINR,6.841593913,10.09809534,8.965090844,7.425079217,7.843124716,6.848651451,2.357048006,0.500681464,1.718196203,0.324776917
Australia,AUS,interest rate,FR.INR.RINR,6.241568028,6.135568823,1.543004859,3.352759946,1.569823207,,,,,
Austria,AUT,interest rate,FR.INR.RINR,,,,,,,,,,
Azerbaijan,AZE,interest rate,FR.INR.RINR,28.88877199,1.523958008,0.272137813,4.69218428,17.54174974,26.67041805,-4.246173343,-16.52277226,25.68170873,16.30888833
Burundi,BDI,interest rate,FR.INR.RINR,8.80978224,7.429321336,1.345924444,16.58250549,14.19816755,-3.154469537,2.498881383,-2.848243036,-6.522632117,
Belgium,BEL,interest rate,FR.INR.RINR,,,,,,,,,,
Benin,BEN,interest rate,FR.INR.RINR,4.266334386,4.580099734,7.329027718,6.052308163,7.114169778,3.557093414,4.557501514,,,
Burkina Faso,BFA,interest rate,FR.INR.RINR,7.545939073,2.622405522,5.024211614,5.628913773,6.143920617,0.06753751,6.130218132,,,
Bangladesh,BGD,interest rate,FR.INR.RINR,5.512644316,-13.64213564,4.276539894,3.634303658,5.689563715,4.289186251,3.076215735,1.972480573,0.629461238,2.778411378
Bulgaria,BGR,interest rate,FR.INR.RINR,4.372237806,2.970723183,0.597670726,0.698370649,-0.696635748,-0.01272543,-2.664314633,-10.50091287,-3.295493968,-2.417577365
Bahrain,BHR,interest rate,FR.INR.RINR,15.25317769,,,,,,,,,
"Bahamas, The",BHS,interest rate,FR.INR.RINR,-0.447833079,3.161210956,2.86428153,3.64959861,-0.188692852,6.730049991,5.537745654,0.120846426,-2.241293079,3.950185444
Bosnia and Herzegovina,BIH,interest rate,FR.INR.RINR,4.332934283,3.853480588,2.555421607,0.972976456,0.794606852,3.007856281,-1.678363103,-7.55577266,-2.963612969,0.303930252
Belarus,BLR,interest rate,FR.INR.RINR,1.776241379,5.591633508,0.953355736,-3.070644105,0.411085485,-2.542929485,-4.516802634,-1.888002462,1.772885307,1.125144155
Belize,BLZ,interest rate,FR.INR.RINR,10.52994979,7.539689332,6.202791197,9.054927552,9.159609472,9.366065227,7.857132067,1.152645033,1.6335485,6.918433055
Bermuda,BMU,interest rate,FR.INR.RINR,,,,,,,,,,
Bolivia,BOL,interest rate,FR.INR.RINR,13.3088029,9.434724955,-16.75326935,5.427780183,8.59146406,8.871505527,5.03808285,5.043313577,8.438802969,
