Brand,Product Name,Product Details,Product Price,Product Description,Discount,MRP,Stars,Total Ratings,Total Reviews
MSI,Cyborg 15 AI PC Intel Core Ultra 7 155H  , (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeF...,113290,Intel Core Ultra 7 Processor16 GB DDR5 RAMWindows 11 Operating System1 TB SSD39.62 cm (15.6 Inch) Display2 Year Carry-in Warranty,12,129990,3.98,8,1
MSI,Cyborg 15 Intel Core i5 12th Gen 12450H   , (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,52990,Intel Core i5 Processor (12th Gen)16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display2 Year Onsite Warranty,41,89990,4.655,55,7
DELL,Inspiron 3520 Intel Core i3 12th Gen 1215U   , (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 La...,33600,Intel Core i3 Processor (12th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Hardware Service,31,48827,4.23,"3,569",263
Apple,MacBook AIR Apple M2       , (8 GB/256 GB SSD/Mac OS Monterey) ,78990,"Apple M2 Processor8 GB Unified Memory RAMMac OS Operating System256 GB SSD34.54 cm (13.6 Inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warranty",20,99900,4.714,"14,150",841
HP,(15s) MLY33HN/A         ,fq5007TU) Intel Core i3 12th Gen 1215U ,37990,Intel Core i3 Processor (12th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD100.58 cm (39.6 cm) DisplayMicrosoft Office Home & Student 20211 Year Onsite Warranty,25,51134,4.26,"6,147",524
MSI,Katana 15 Intel Core i7 13th Gen 13620H   , (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,76590,Intel Core i7 Processor (13th Gen)16 GB DDR5 RAMWindows 11 Operating System1 TB SSD39.62 cm (15.6 Inch) Display2 Year Onsite Warranty,50,154990,4.129,29,2
Lenovo,IdeaPad Slim 1 AMD Ryzen 5 Quad Core 7520U  , (8 GB/512 GB SSD/Windows 11 Home) 15AMN7 Thin and ...,27988,AMD Ryzen 5 Quad Core Processor8 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayMicrosoft Office Home & Student 20211 Year Carry-in Warranty,57,65690,4289,289,16
Apple,MacBook AIR Apple M2       , (8 GB/256 GB SSD/Mac OS Monterey) MLXW3HN/A,78990,"Apple M2 Processor8 GB Unified Memory RAMMac OS Operating System256 GB SSD34.54 cm (13.6 Inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warra­nty",20,99900,4.714,"14,150",841
SAMSUNG,Galaxy Book4 Intel Core i5 13th Gen 1335U   , (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ,60990,Intel Core i5 Processor (13th Gen)16 GB LPDDR4X RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories,26,82789,4.53,"3,397",293
ASUS,TUF Gaming F17        , AI Powered Gaming Intel Core i5 11th Gen 11400H ,57990,Intel Core i5 Processor (11th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD43.94 cm (17.3 Inch) Display1 Year Onsite Warranty,32,85990,4.36,"6,664",538
MSI,Cyborg 15 Intel Core i5 12th Gen 12450H   , (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA G...,63990,Intel Core i5 Processor (12th Gen)16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display2 Year Onsite Warranty,32,94990,3.717,17,0
MSI,Thin 15 Intel Core i5 13th Gen 13420H   , (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,81690,Intel Core i5 Processor (13th Gen)16 GB DDR4 RAMWindows 11 Operating System1 TB SSD39.62 cm (15.6 Inch) Display2 Year Onsite Warranty,14,94990,4.86,6,1
Acer,Aspire 7 Intel Core i5 12th Gen 12450H   , (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,50990,Intel Core i5 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,49,99999,4.13,"3,346",274
Acer,Aspire 3 Backlit Intel Core i5 12th Gen 1235U  , (16 GB/512 GB SSD/Windows 11 Home) A324,39990,Intel Core i5 Processor (12th Gen)16 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Domestic Warranty,24,53000,4.11,"1,924",130
Lenovo,Intel Core i7 12th Gen 1255U     , (16 GB/512 GB SSD/Windows 11 Home) V15 G3 IAP Thin and Light Lap...,49990,Intel Core i7 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,44,90000,4.11,"1,230",109
Apple,MacBook AIR Apple M2       , (8 GB/256 GB SSD/Mac OS Monterey) MLY13HN/A,78990,"Apple M2 Processor8 GB Unified Memory RAMMac OS Operating System256 GB SSD34.54 cm (13.6 Inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warranty",20,99900,4.714,"14,150",841
MSI,Thin A15 AMD Ryzen 5 Hexa Core 7535HS   , (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,59990,AMD Ryzen 5 Hexa Core Processor16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display2 Year Onsite Warranty,24,78990,4.323,23,1
MSI,Sword 16 HX Intel Core i7 14th Gen 14700HX  , (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA ...,134790,Intel Core i7 Processor (14th Gen)16 GB DDR5 RAMWindows 11 Operating System1 TB SSD40.64 cm (16 Inch) Display2 Year Onsite Warranty,11,151990,3.73,3,0
Lenovo,AMD Ryzen 3 Quad Core 7330U     , (8 GB/512 GB SSD/Windows 11 Home) ThinkBook 15 G5 Thin and Light ...,29990,AMD Ryzen 3 Quad Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,48,58500,4.2539,539,58
ASUS,"Vivobook 15, with Backlit Keyboard, Intel Core i3 12th Gen 1215U", (8 GB/512 GB SSD/Windows 11 Ho...,36990,Intel Core i3 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1-year warranty,32,54990,4.38,"8,543",639
MSI,Cyborg 15 AI PC Intel Core Ultra 5 125H  , (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,96990,Intel Core Ultra 5 Processor16 GB DDR5 RAMWindows 11 Operating System1 TB SSD39.62 cm (15.6 Inch) Display2 Year Carry-in Warranty,13,111990,4.1557,557,46
Acer,Aspire 3 Intel Celeron Dual Core N4500    , (8 GB/256 GB SSD/Windows 11 Home) A324,19990,Intel Celeron Dual Core Processor8 GB LPDDR4X RAMWindows 11 Operating System256 GB SSD35.56 cm (14 Inch) Display1 Year Carry-in Warranty,33,29999,4.4935,935,53
SAMSUNG,Galaxy Book4 Intel Core i7 13th Gen 1355U   , (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ,69990,Intel Core i7 Processor (13th Gen)16 GB LPDDR4X RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories,21,89689,4.2179,179,8
Lenovo,IdeaPad 1 Intel Celeron Dual Core N4020    , (8 GB/512 GB SSD/Windows 11 Home) 14IGL7 Thin and Lig...,23990,Intel Celeron Dual Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Yr. Onsite,36,37690,4.1946,946,138
Acer,Aspire 3 Backlit AMD Ryzen 5 Hexa Core 7430U  , (16 GB/512 GB SSD/Windows 11 Home) A325,34990,AMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Carry-in Warranty,44,59990,4.1639,639,41
HP,255 G9 AMD Ryzen 3 Dual Core R3 3250  , (8 GB/512 GB SSD/Windows 11 Home) 255 G8 Business Laptop,25999,AMD Ryzen 3 Dual Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite warranty by OEM,49,39999,3.98,8,1
MSI,Cyborg 15 AI PC Intel Core Ultra 7 155H  , (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeF...,113290,Intel Core Ultra 7 Processor16 GB DDR5 RAMWindows 11 Operating System1 TB SSD39.62 cm (15.6 Inch) Display2 Year Carry-in Warranty,20,129990,4.655,55,7
MSI,Cyborg 15 Intel Core i5 12th Gen 12450H   , (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,52990,Intel Core i5 Processor (12th Gen)16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display2 Year Onsite Warranty,24,89990,4.24,"4,960",253
HP,Intel Core i5 12th Gen 1235U     , (16 GB/512 GB SSD/Windows 11 Home) 15s,52990,Intel Core i5 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite warranty,50,62526,4.42,"2,766",310
MSI,Modern 14 AMD Ryzen 5 Hexa Core 7530U   , (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C7M,36990,AMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Onsite Warranty,41,64990,4.129,29,2
MSI,Katana 15 Intel Core i7 13th Gen 13620H   , (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,76590,Intel Core i7 Processor (13th Gen)16 GB DDR5 RAMWindows 11 Operating System1 TB SSD39.62 cm (15.6 Inch) Display2 Year Onsite Warranty,35,154990,3.717,17,0
MSI,Cyborg 15 Intel Core i5 12th Gen 12450H   , (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA G...,63990,Intel Core i5 Processor (12th Gen)16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display2 Year Onsite Warranty,12,94990,4.25,"5,560",496
Lenovo,IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U  , (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and...,36703,AMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD100.63 cm (39.62 cm) DisplayMicrosoft Office Home & Student 20212 Yr Warranty,41,58390,4.23,"3,576",263
DELL,Intel Core i3 12th Gen 1215U     , (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3520 Thin and Light Lap...,33470,Intel Core i3 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,15,47869,4.31,"1,412",153
MSI,Modern 15 Intel Core i3 12th Gen 1215U   , (16 GB/512 GB SSD/Windows 11 Home) Modern 15 B12MO,32990,Intel Core i3 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,43,48990,4.714,"14,150",841
Apple,MacBook AIR Apple M2       , (8 GB/256 GB SSD/Mac OS Monterey) MLXY3HN/A,78990,"Apple M2 Processor8 GB Unified Memory RAMMac OS Operating System256 GB SSD34.54 cm (13.6 Inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warra­nty",50,99900,4.86,6,1
MSI,Thin 15 Intel Core i5 13th Gen 13420H   , (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,81690,Intel Core i5 Processor (13th Gen)16 GB DDR4 RAMWindows 11 Operating System1 TB SSD39.62 cm (15.6 Inch) Display2 Year Onsite Warranty,32,94990,4.324,24,1
MSI,Thin A15 AMD Ryzen 5 Hexa Core 7535HS   , (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,59990,AMD Ryzen 5 Hexa Core Processor16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display2 Year Onsite Warranty,37,78990,3.7999,999,112
CHUWI,Intel Celeron Dual Core 11th Gen N4020    , (8 GB/256 GB SSD/Windows 11 Home) HeroBook Plus Laptop,16990,Intel Celeron Dual Core Processor (11th Gen)8 GB DDR5 RAM64 bit Windows 11 Operating System256 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,30,39990,4.24,"4,960",253
HP,Backlit Intel Core i5 12th Gen 1235U    , (8 GB/512 GB SSD/Windows 11 Home) 15s,64500,Intel Core i5 Processor (12th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,32,70064,3.73,3,0
MSI,Sword 16 HX Intel Core i7 14th Gen 14700HX  , (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA ...,134790,Intel Core i7 Processor (14th Gen)16 GB DDR5 RAMWindows 11 Operating System1 TB SSD40.64 cm (16 Inch) Display2 Year Onsite Warranty,20,151990,41,"1,783",228
MSI,Cyborg 15 AI PC Intel Core Ultra 5 125H  , (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,96990,Intel Core Ultra 5 Processor16 GB DDR5 RAMWindows 11 Operating System1 TB SSD39.62 cm (15.6 Inch) Display2 Year Carry-in Warranty,14,111990,4.38,"8,576",642
Infinix,Y1 Plus Neo Intel Celeron Quad Core 11th Gen N5100 , (4 GB/128 GB SSD/Windows 11 Home) XL30 Th...,17990,Intel Celeron Quad Core Processor (11th Gen)4 GB LPDDR4X RAMWindows 11 Operating System128 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,24,29990,4.21,"1,155",86
ASUS,Vivobook 15 Intel Core i3 12th Gen 1215U   , (16 GB/512 GB SSD/Windows 11 Home) X1504ZA,40990,Intel Core i3 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,57,54990,4.22,"2,747",693
Acer,Aspire 7 Intel Core i5 13th Gen 13420H   , (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,53990,Intel Core i5 Processor (13th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,7,84999,4.6464,464,27
Primebook,Wifi MediaTek MT8183        , (4 GB/64 GB EMMC Storage/Prime OS) PB Wifi Thin and Light Laptop,10990,MediaTek MT8183 Processor4 GB LPDDR4 RAMAndroid Operating System29.46 cm (11.6 Inch) Display1 Year Pick and Drop Warranty,11,18990,4.27,"7,796",582
Apple,MacBook Air Apple M3       , (8 GB/256 GB SSD/macOS Sonoma) MRXV3HN/A,104990,"Apple M3 Processor8 GB Unified Memory RAMMac OS Operating System256 GB SSD33.02 cm (13 Inch) DisplayBuilt-in Apps: App Store, Books, Calendar, Contacts, FaceTime, Find My, Freeform, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos1 Year Onsite Warranty",13,114900,4.3172,172,19
HP,AMD Ryzen 5 Hexa Core 5500U     , (8 GB/512 GB SSD/Windows 11 Home) 15s,36730,"AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayMicrosoft Office Home 2019 & Office 365, HP Documentation, HP SSRM, HP Smart1 Year Onsite Warranty",40,54552,41,"1,783",228
Lenovo,ThinkBook 16 G6 Intel Core i3 13th Gen 1315U  , (8 GB/512 GB SSD/Windows 11 Home) ThinkBook 16 G...,38990,Intel Core i3 Processor (13th Gen)8 GB DDR5 RAMWindows 11 Operating System512 GB SSD40.64 cm (16 Inch) Display1 Year Onsite warranty,25,73800,3.98,8,1
Infinix,Y1 Plus Neo Intel Celeron Quad Core 11th Gen N5100 , (4 GB/128 GB SSD/Windows 11 Home) XL30 Th...,17990,Intel Celeron Quad Core Processor (11th Gen)4 GB LPDDR4X RAMWindows 11 Operating System128 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,36,29990,4.655,55,7
MSI,Cyborg 15 AI PC Intel Core Ultra 7 155H  , (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeF...,113290,Intel Core Ultra 7 Processor16 GB DDR5 RAMWindows 11 Operating System1 TB SSD39.62 cm (15.6 Inch) Display2 Year Carry-in Warranty,42,129990,4634,634,37
MSI,Cyborg 15 Intel Core i5 12th Gen 12450H   , (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,52990,Intel Core i5 Processor (12th Gen)16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display2 Year Onsite Warranty,8,89990,4.25,"5,560",496
HP,AMD Athlon Dual Core       , (8 GB/256 GB SSD/Windows 11 Home) 255 Laptop,21990,AMD Athlon Dual Core Processor8 GB LPDDR4 RAMWindows 11 Operating System256 GB SSD39.62 cm (15.6 inch) Display1 YEAR,32,50648,4.25,"5,393",292
Lenovo,IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U  , (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and...,36703,AMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD100.63 cm (39.62 cm) DisplayMicrosoft Office Home & Student 20212 Yr Warranty,57,58390,3.976,76,9
ASUS,Vivobook 15 Intel Core i5 12th Gen 1235U   , (8 GB/512 GB SSD/Windows 11 Home) X1504ZA,47990,Intel Core i5 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,41,69990,4.129,29,2
Acer,Travelmate Intel Core i5 11th Gen 1135G7    , (16 GB/512 GB SSD/Windows 11 Home) TMP215,33990,Intel Core i5 Processor (11th Gen)16 GB DDR4 RAM64 bit Windows 11 Home Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite Warranty,25,49990,3.717,17,0
MSI,Katana 15 Intel Core i7 13th Gen 13620H   , (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,76590,Intel Core i7 Processor (13th Gen)16 GB DDR5 RAMWindows 11 Operating System1 TB SSD39.62 cm (15.6 Inch) Display2 Year Onsite Warranty,32,154990,4.25,"5,393",292
MSI,Cyborg 15 Intel Core i5 12th Gen 12450H   , (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA G...,63990,Intel Core i5 Processor (12th Gen)16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display2 Year Onsite Warranty,24,94990,4.2192,192,17
ASUS,"Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U", (16 GB/512 GB SSD/Windows 11 H...,52990,Intel Core i5 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,47,73990,4.86,6,1
Lenovo,AMD Ryzen 7 Octa Core 7730U     , (16 GB/512 GB SSD/Windows 11 Home) V15 G4 Thin and Light Laptop,39990,AMD Ryzen 7 Octa Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,40,62100,4.324,24,1
MSI,Thin 15 Intel Core i5 13th Gen 13420H   , (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,81690,Intel Core i5 Processor (13th Gen)16 GB DDR4 RAMWindows 11 Operating System1 TB SSD39.62 cm (15.6 Inch) Display2 Year Onsite Warranty,12,94990,3.7999,999,112
MSI,Thin A15 AMD Ryzen 5 Hexa Core 7535HS   , (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,59990,AMD Ryzen 5 Hexa Core Processor16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display2 Year Onsite Warranty,41,78990,4.38,"8,576",642
CHUWI,Intel Celeron Dual Core 11th Gen N4020    , (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,16990,"Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD StorageHard-Decoding 4k@60Hz
Graphics/GPU: UHD Graphics 600
Display: 14.1 inch, 16:9 IPS Display
Touchpad: Larger Touchpad with easy control
Keyboard: Chiclet keyboard keysIntel Celeron Dual Core Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.81 cm (14.1 inch) DisplayWPS Office, Operating System Software1 Year Onsite Warranty",56,34990,4.38,"8,576",642
ASUS,Vivobook 15 Intel Core i3 12th Gen 1215U   , (8 GB/512 GB SSD/Windows 11 Home) X1502ZA,36990,Intel Core i3 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,37,56990,3.91,"1,301",104
ASUS,Vivobook 15 Intel Core i3 12th Gen 1215U   , (16 GB/512 GB SSD/Windows 11 Home) X1504ZA,40990,Intel Core i3 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,31,54990,3.73,3,0
Acer,Aspire 3 Intel Celeron Dual Core N4500    , (8 GB/512 GB SSD/Windows 11 Home) A324,20990,Intel Celeron Dual Core Processor8 GB LPDDR4X RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Carry-in Warranty,32,32999,4.53,"3,397",293
MSI,Sword 16 HX Intel Core i7 14th Gen 14700HX  , (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA ...,134790,Intel Core i7 Processor (14th Gen)16 GB DDR5 RAMWindows 11 Operating System1 TB SSD40.64 cm (16 Inch) Display2 Year Onsite Warranty,50,151990,4.714,"14,150",841
MSI,Cyborg 15 AI PC Intel Core Ultra 5 125H  , (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,96990,Intel Core Ultra 5 Processor16 GB DDR5 RAMWindows 11 Operating System1 TB SSD39.62 cm (15.6 Inch) Display2 Year Carry-in Warranty,32,111990,4.25,"5,105",508
SAMSUNG,Galaxy Book4 Intel Core i5 13th Gen 1335U   , (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ,55990,Intel Core i5 Processor (13th Gen)8 GB LPDDR4X RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories,28,78189,4.21,"1,832",170
Apple,MacBook AIR Apple M2       , (8 GB/256 GB SSD/Mac OS Monterey) MLY13HN/A,78990,"Apple M2 Processor8 GB Unified Memory RAMMac OS Operating System256 GB SSD34.54 cm (13.6 Inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warranty",35,99900,3.9808,808,114
ASUS,Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U  , (8 GB/512 GB SSD/Windows 11 Home) E1504FA,32800,AMD Ryzen 3 Quad Core Processor8 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,14,50990,4.34,"4,761",517
Lenovo,IdeaPad 1 AMD Athlon Dual Core 7120U    , (8 GB/512 GB SSD/Windows 11 Home) 15AMN7 Thin and Light ...,27990,AMD Athlon Dual Core Processor8 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Yr. Onsite + 1 Yr. Accidental Damage Protection,24,43790,3.7999,999,112
ZEBRONICS,Pro Series Z Intel Core i5 12th Gen 1235U  , (8 GB/512 GB SSD/Windows 11 Home) ZEB,29990,Intel Core i5 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Carry-in Warranty,51,60999,4.4294,294,23
HP,Laptop AMD Ryzen 3 Quad Core 5300U    , (8 GB/512 GB SSD/Windows 11 Home) 15s,32490,AMD Ryzen 3 Quad Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,35,44783,3.98,8,1
CHUWI,Intel Celeron Dual Core 11th Gen N4020    , (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,16990,"Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD StorageHard-Decoding 4k@60Hz
Graphics/GPU: UHD Graphics 600
Display: 14.1 inch, 16:9 IPS Display
Touchpad: Larger Touchpad with easy control
Keyboard: Chiclet keyboard keysIntel Celeron Dual Core Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.81 cm (14.1 inch) DisplayWPS Office, Operating System Software1 Year Onsite Warranty",25,34990,4.655,55,7
HP,15s Intel Core i7 13th Gen 1360P    , (16 GB/512 GB SSD/Windows 11 Home) 15,72942,Intel Core i7 Processor (13th Gen)16 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,36,88862,4.356,56,5
